slug,name,neighborhood,neighborhood_slug,borough,address,teams,instagram,blurb
football-factory-legends,Football Factory at Legends,Midtown,midtown,Manhattan,6 W 33rd St,England|Mexico|general,@footballfactoryny,"NYC's #1 soccer bar — home to 30+ supporter clubs and dozens of screens; the epicenter of the city's soccer community."
smithfield-hall,Smithfield Hall,Flatiron,flatiron,Manhattan,138 W 25th St,England|general,@smithfieldnyc,"Premium soccer bar with wall-to-wall screens and a heated outdoor patio; passionate but polished crowd."
jack-demseys,Jack Demsey's,Midtown,midtown,Manhattan,36 W 33rd St,Ireland|England|general,@jackdemseysnyc,"Four-floor Irish pub with 15+ HD TVs; a proven World Cup hub right next to Football Factory."
slainte,Sláinte,Bowery,bowery,Manhattan,304 Bowery,general,@slaintenyc,"Self-styled ""World Cup HQ"" with a projector and 14 TVs; built for large groups."
bowery-beer-garden,The Bowery Beer Garden,Bowery,bowery,Manhattan,93 Bowery,general,@bowerybeergarden,"NYC's largest sports beer garden — 50+ HDTVs and outdoor screens, opens early for 8 AM matches."
red-lion,The Red Lion,Greenwich Village,greenwich-village,Manhattan,151 Bleecker St,general,@redlionnyc,"Bleecker St mainstay with 10+ HD screens; named a top NYC World Cup bar."
whiskey-tavern,Whiskey Tavern,Chinatown,chinatown,Manhattan,79 Baxter St,general,@whiskeytavernnyc,"Downtown spot throwing daily World Cup watch parties with full stadium audio and a projector."
stout-nyc,Stout NYC,Midtown,midtown,Manhattan,Near Penn Station,general,@stoutnyc,"Multi-level space near Penn Station that transforms for international tournaments; great for big groups."
jones-wood-foundry,Jones Wood Foundry,Upper East Side,upper-east-side,Manhattan,401 E 76th St,England|general,@joneswoodfoundry,"The Upper East Side's go-to soccer spot; reservations on Resy."
eastpoint,Eastpoint,East Village,east-village,Manhattan,3 Avenue B,general,@eastpointnyc,"East Village bar offering private and group watch parties with multiple TVs and a full kitchen."
houston-hall,Houston Hall,West Village,west-village,Manhattan,222 W Houston St,general,@houstonhallnyc,"Cavernous former trolley garage turned beer hall — huge capacity for tournament crowds."
banter,Banter,Williamsburg,williamsburg,Brooklyn,132 Havemeyer St,Australia|general,@banterbrooklyn,"A pure soccer bar in Williamsburg for 15 years; opens early and draws a lively international crowd."
berry-park,Berry Park,Williamsburg,williamsburg,Brooklyn,4 Berry St,general,@berryparkbk,"Women-owned Williamsburg beer hall with a big rooftop, skyline views, and multiple big screens."
box-house-rooftop,Box House Hotel Rooftop,Greenpoint,greenpoint,Brooklyn,Greenpoint,general,@theboxhousehotel,"A full month of rooftop World Cup watch parties at The Brooklyn Lantern, open to locals and guests."
zum-schneider-the-world,The WORLD by Zum Schneider,Greenpoint,greenpoint,Brooklyn,Franklin Point,Germany|general,@zumschneidernyc,"Waterfront setup with giant screens, surround sound, and German beer-hall energy."
pig-beach-bbq,Pig Beach BBQ,Astoria,astoria,Queens,Astoria,USA|general,@pigbeachnyc,"A 28,000 sq ft beer garden with a giant projector screen; huge crowds for big matches."
rivercrest,Rivercrest,Astoria,astoria,Queens,33-15 Ditmars Blvd,USA|England|general,@rivercrestny,"Home base for American Outlaws Queens (USMNT) and NYC Tottenham fans; craft beer and burgers."
rabbit-hole,The Rabbit Hole,Astoria,astoria,Queens,Astoria,general,@therabbitholenyc,"One of the most electric watch-party spots in Queens — sports bar meets nightlife, full AV setup."
boca-juniors-steakhouse,Boca Juniors Steakhouse,Elmhurst,elmhurst,Queens,Elmhurst,Argentina,@bocajrssteakhouse,"The Argentina hub — Boca Juniors memorabilia and jerseys; electric when Argentina plays."
beija-flor,Beija Flor,Long Island City,long-island-city,Queens,Long Island City,Brazil,@beijaflor_nyc,"A popular Long Island City spot for watching Brazil matches."
